id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,epoch_construction,roof_shape,roof_material,image_quality,taxonomy,image filename or link
1131.0,38.69661725614203,-9.221566196813626,Portugal,Lisbon,CR,LFINF,CDL,2,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,CR/LFINF/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69661726,-9.2215662&heading=81.77300766576764&pitch=5&fov=120"
1132.0,38.69973510025744,-9.215152425654225,Portugal,Lisbon,CR,LFINF,CDM,3,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,CR/LFINF/CDM/H:3/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6997351,-9.21515243&heading=176.85051375258308&pitch=5&fov=120"
1133.0,38.69672420188006,-9.21071834427981,Portugal,Lisbon,CR,LFM,CDM,6.0-7.0,MIX(RES;COM),BP2,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDM/H:6-7/BP2/RSH1+RMN/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6967242,-9.21071834&heading=216.5418311638673&pitch=5&fov=120"
1135.0,38.70113434999999,-9.19666285,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BPD,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:1/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70113435,-9.19666285&heading=313.81301196092124&pitch=5&fov=120"
1139.0,38.6975764616796,-9.194767409394858,Portugal,Lisbon,CR,LFM,CDL,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH3,RMT1,,CR/LFM/CDL/H:4/BP2/RSH3+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69757646,-9.19476741&heading=47.44154340145997&pitch=5&fov=120"
1140.0,38.6953208800848,-9.219158798907824,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDL/H:2/BP1/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69532088,-9.2191588&heading=14.64682089960678&pitch=5&fov=120"
1141.0,38.70358760900466,-9.202808881227698,Portugal,Lisbon,CR,LFM,CDM,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH3,RMT1,,CR/LFM/CDM/H:4/BP2/RSH3+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70358761,-9.20280888&heading=346.42376788678285&pitch=5&fov=120"
1142.0,38.69819787036084,-9.192551366878403,Portugal,Lisbon,MCF,LWAL,CDL,3,MIX(RES;COM),BP1,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:3/BP1/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69819787,-9.19255137&heading=46.28203484036658&pitch=5&fov=120"
1143.0,38.69771189808242,-9.217945403900131,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP1,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:2/BP1/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.6977119,-9.2179454&heading=99.02901559321691&pitch=5&fov=120"
1144.0,38.69714432376872,-9.215771318520792,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69714432,-9.21577132&heading=80.41037885563037&pitch=5&fov=120"
1145.0,38.70037100281476,-9.204528723125026,Portugal,Lisbon,CR,LFINF,CDL,3,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,CR/LFINF/CDL/H:3/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.700371,-9.20452872&heading=302.4222355471052&pitch=5&fov=120"
1147.0,38.70430371746924,-9.202758745677206,Portugal,Lisbon,CR,LFINF,CDL,3,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:3/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.70430372,-9.20275875&heading=148.94898022218422&pitch=5&fov=120"
1148.0,38.698356592610665,-9.219315389542064,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDL/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69835659,-9.21931539&heading=286.95471652994246&pitch=5&fov=120"
1150.0,38.69924730638887,-9.217625324329774,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP2,Select Epoch of Construction,RSH2,RMT1,,MUR/LWAL/CDN/H:2/BP2/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69924731,-9.21762532&heading=283.8419763331076&pitch=5&fov=120"
1152.0,38.69642313585809,-9.2238119209062,Portugal,Lisbon,CR,LFM,CDH,4,RES,BPD,Select Epoch of Construction,RSH1,RMN,,CR/LFM/CDH/H:4/BPD/RSH1+RMN/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69642314,-9.22381192&heading=183.71892151742355&pitch=5&fov=120"
1154.0,38.69984369333391,-9.224718243813518,Portugal,Lisbon,CR,LFINF,CDL,3,MIX(RES;COM),BP1,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:3/BP1/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69984369,-9.22471824&heading=22.287797790821514&pitch=5&fov=120"
1155.0,38.69909145852327,-9.205083881528504,Portugal,Lisbon,CR,LFM,CDL,2,RES,BPD,Select Epoch of Construction,RSH5,RMT1,,CR/LFM/CDL/H:2/BPD/RSH5+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69909146,-9.20508388&heading=281.7955072648041&pitch=5&fov=120"
1156.0,38.69991135027324,-9.226141483766773,Portugal,Lisbon,CR,LFINF,CDL,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDL/H:4/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69991135,-9.22614148&heading=357.93957343154966&pitch=5&fov=120"
1158.0,38.69698553166936,-9.217355478242164,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP1,Select Epoch of Construction,RSH3,RMT1,,MUR/LWAL/CDN/H:2/BP1/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69698553,-9.21735548&heading=90.52234016384028&pitch=5&fov=120"
1160.0,38.69716323239966,-9.202578433693931,Portugal,Lisbon,CR,LFINF,CDN,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDN/H:4/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69716323,-9.20257843&heading=154.87509477339023&pitch=5&fov=120"
1161.0,38.6960993634064,-9.220778627649109,Portugal,Lisbon,CR,LFINF,CDN,4,MIX(RES;COM),BP2,Select Epoch of Construction,RSH2,RMT1,,CR/LFINF/CDN/H:4/BP2/RSH2+RMT1/MIX(RES;COM),"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69609936,-9.22077863&heading=172.09120710515555&pitch=5&fov=120"
1162.0,38.69754487387159,-9.215247417109424,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BPD,Select Epoch of Construction,RSH3,RMT1,,MCF/LWAL/CDL/H:2/BPD/RSH3+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69754487,-9.21524742&heading=346.7057921095318&pitch=5&fov=120"
1163.0,38.69722486491025,-9.215167069063703,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BPD,Select Epoch of Construction,RSH2,RMT1,,MCF/LWAL/CDL/H:2/BPD/RSH2+RMT1/RES,"https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=38.69722486,-9.21516707&heading=165.45120277936923&pitch=5&fov=120"
