id,latitude,longitude,country,city,material,llrs,code_level,n_stories,occupancy,block_position,roof_shape,roof_material,taxonomy,image filename or link
800e7edd-652e-4d49-a579-96ceaa378d16,38.7062465,-9.194203476,Portugal,Lisbon,CR,LFM,CDL,06/jul,RES,BP1,RSH1,RMN,,
69ec3e0c-4958-4c5b-b195-5fa75a942d23,38.70451194,-9.197135516,Portugal,Lisbon,MUR,LWAL,CDL,1,RES,BP2,RSH2,RMT1,,
4d96019f-e774-44c2-b7e6-24d59fa11258,38.69705932,-9.217701639,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
245918fb-097d-4a69-b4df-0635e03ed9e2,38.7151958,-9.215892825,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH1,RMN,,
bb11f8cb-1882-4822-be07-8038d4e8ac0d,38.69908326,-9.191280636,Portugal,Lisbon,CR,LFM,CDL,5,RES,BP1,RSH1,RMN,,
38803c42-4be4-4d99-8041-4a54a4eadcff,38.72217239,-9.195539844,,,,,,,,,,,,
adbe450d-47ee-4465-b970-8fe38f5a132b,38.7030747,-9.217604652,,,,,,,,,,,,
327705a3-3a4f-4b93-82ad-207d61e6a31e,38.70353715,-9.1895904,,,,,,,,,,,,
c895799c-80af-422e-8788-35d1ee741ebd,38.70557259,-9.198213664,,,,,,,,,,,,
7965156c-0425-4a2b-9148-0ca49df0843b,38.69982032,-9.218092529,,,,,,,,,,,,
7db41a2d-29f5-40fa-ad6e-009ee578cb58,38.70192722,-9.185836333,,,,,,,,,,,,
bea3a68d-2037-4995-b535-1d7ef96f70a2,38.70504552,-9.200286799,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP1,RSH2,RMT1,,
ad6d47c2-35ff-4960-8bcc-5a0e282e6bae,38.699272,-9.195483815,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP2,RSH1,RMN,,
ff495bb0-af2f-4628-80d3-c23afd3aae11,38.70361968,-9.20293953,Portugal,Lisbon,CR,LFM,CDM,4,MIX(RES;COM),BP2,RSH1,RMN,,
0ce05aed-87c7-4690-90fd-ea00e42f2264,38.70716807,-9.175269996,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BP1,RSH2,RMT1,,
26c0d07a-e815-4f54-b2bb-0f91a0cc9ce9,38.71657775,-9.21425895,Portugal,Lisbon,MUR,LWAL,CDN,1,IND,BP1,RSH2,RMT1,,
0ec1f535-7dc6-4bdf-8a3e-f47edd574111,38.69734359,-9.224152299,,,,,,,,,,,,
666f11f7-db03-43e2-aa58-08744a508959,38.70994755,-9.19910405,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH1,RMN,,
35ae108f-3d19-43c4-a258-cbd0d086c453,38.7093275,-9.1919831,Portugal,Lisbon,CR,LFM,CDM,5,MIX(RES;COM),BP1,RSH1,RMN,,
86ef96ad-08ed-4d27-846b-acf4161feaff,38.71734554,-9.211750775,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH2,RMT1,,
3b86ca47-43e9-4c0b-bb12-7e59976f1c26,38.71168033,-9.204761149,,,,,,,,,,,,
1fa29d46-3192-488c-80da-b7f3373a3c4d,38.70444238,-9.186705693,Portugal,Lisbon,CR,LFM,CDH,3,IND,BPD,RSH1,RMN,,
0c54f2a1-eadf-4c53-b810-0b246f930965,38.7050128,-9.190208464,Portugal,Lisbon,MUR,LWAL,CDN,4,RES,BP1,RSH1,RMN,,
9e1509c0-f9c9-41d3-beea-a39f38202285,38.70241997,-9.204310443,Portugal,Lisbon,CR,LFM,CDL,5,MIX(RES;COM),BP3,RSH1,RMN,,
1fea1b0c-527b-4647-80c4-a979da9da494,38.70450193,-9.195725077,Portugal,Lisbon,CR,LFM,CDH,5,RES,BP1,RSH2,RMT1,,
ec2cd6af-417c-4c81-bf45-26e2277c4b52,38.71572064,-9.215180243,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH2,RMT1,,
1cd1565e-623e-4784-89de-0a5ea999a6a5,38.70515646,-9.202487275,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH1,RMN,,
3effe03c-6322-424e-b8d9-2272367a1c26,38.70153438,-9.215832008,Portugal,Lisbon,MUR,LWAL,CDN,2,RES,BP2,RSH1,RMN,,
957330a0-9b21-4e77-a351-4c57d78ae301,38.69518304,-9.219311597,Portugal,Lisbon,MUR,LWAL,CDN,1,RES,BPD,RSH2,RMT1,,
c56b9920-592d-4127-94ea-935a7b009458,38.69933137,-9.220629194,Portugal,Lisbon,MUR,LWAL,CDL,1,RES,BPD,RSH2,RMT1,,
2264c0e4-d97e-480c-bb3b-60f379460c23,38.70563237,-9.181773105,Portugal,Lisbon,CR,LFINF,CDL,3,MIX(RES;COM),BP3,RSH1,RMN,,
ec192cf7-76e5-47df-bf72-81588d67da5e,38.70533191,-9.194487441,Portugal,Lisbon,CR,LFM,CDL,4,RES,BP1,RSH1,RMN,,
0d6eb719-21ce-427b-9e76-5ac779826859,38.70172181,-9.184468571,Portugal,Lisbon,MUR,LWAL,CDL,2,RES,BP2,RSH1,RMN,,
08e9a8a2-ff21-4690-b1ae-fb9d03630144,38.69599011,-9.218602086,Portugal,Lisbon,CR,LFM,CDM,2,COM,BP2,RSH1,RMN,,
198aceb5-ffb8-4c53-9a59-5d1ff2829954,38.70639515,-9.176547156,Portugal,Lisbon,MUR,LWAL,CDL,4,RES,BP1,RSH1,RMN,,
4de2ae49-fe24-4217-985e-b3d4fe10a548,38.7106275,-9.196183887,,,,,,,,,,,,
63c1c29d-ea41-466d-b615-2a1eba15a36b,38.71438027,-9.181597712,Portugal,Lisbon,MCF,LWAL,CDL,2,RES,BP2,RSH1,RMN,,
